275.852, 130.893, 8.347,  9.362 False
275.574, 130.893, 8.348,  9.395 False
275.296, 130.893, 8.349,  9.428 False
275.017, 130.893, 8.349,  9.461 False
274.739, 130.892, 8.350,  9.494 False
274.461, 130.891, 8.350,  9.527 False
274.182, 130.890, 8.350,  9.560 False
273.904, 130.888, 8.351,  9.593 False
273.626, 130.887, 8.351,  9.626 False
273.347, 130.885, 8.351,  9.659 False
273.069, 130.882, 8.351,  9.692 False
272.791, 130.879, 8.351,  9.725 False
272.512, 130.877, 8.351,  9.758 False
272.234, 130.874, 8.351,  9.791 False
271.956, 130.870, 8.351,  9.824 False
271.677, 130.867, 8.351,  9.857 False
271.399, 130.863, 8.351,  9.890 False
271.121, 130.859, 8.350,  9.923 False
270.842, 130.855, 8.350,  9.956 False
270.564, 130.851, 8.350,  9.989 False
270.286, 130.846, 8.350, 10.022 False
270.008, 130.842, 8.350, 10.055 False
269.729, 130.837, 8.350, 10.088 False
269.451, 130.832, 8.349, 10.121 False
269.173, 130.826, 8.349, 10.154 False
268.895, 130.821, 8.349, 10.187 False
268.616, 130.816, 8.349, 10.220 False
268.338, 130.810, 8.348, 10.253 False
268.060, 130.804, 8.348, 10.286 False
267.782, 130.798, 8.348, 10.319 False
267.503, 130.792, 8.348, 10.352 False
267.225, 130.786, 8.347, 10.385 False
266.947, 130.779, 8.347, 10.418 False
266.669, 130.773, 8.347, 10.451 False
266.391, 130.766, 8.347, 10.484 False
266.113, 130.759, 8.346, 10.517 False
265.835, 130.752, 8.346, 10.550 False
265.557, 130.744, 8.346, 10.583 False
265.278, 130.737, 8.346, 10.616 False
265.000, 130.730, 8.345, 10.649 False
264.722, 130.722, 8.345, 10.682 False
264.444, 130.714, 8.345, 10.715 False
264.166, 130.706, 8.345, 10.748 False
263.888, 130.698, 8.344, 10.781 False
263.610, 130.690, 8.344, 10.814 False
263.332, 130.682, 8.344, 10.847 False
263.054, 130.673, 8.343, 10.880 False
262.776, 130.664, 8.343, 10.913 False
262.498, 130.655, 8.343, 10.946 False
262.220, 130.646, 8.343, 10.979 False
261.942, 130.637, 8.343, 11.012 False
261.665, 130.628, 8.342, 11.045 False
261.387, 130.619, 8.342, 11.078 False
261.109, 130.609, 8.342, 11.111 False
260.831, 130.599, 8.342, 11.144 False
260.553, 130.589, 8.341, 11.177 False
260.275, 130.579, 8.341, 11.210 False
259.997, 130.569, 8.341, 11.243 False
259.719, 130.559, 8.341, 11.276 False
259.442, 130.549, 8.341, 11.309 False
259.164, 130.539, 8.341, 11.342 False
258.886, 130.528, 8.340, 11.375 False
258.608, 130.518, 8.340, 11.408 False
258.330, 130.508, 8.340, 11.441 False
258.052, 130.497, 8.340, 11.474 False
257.775, 130.486, 8.340, 11.507 False
257.497, 130.476, 8.340, 11.540 False
257.219, 130.465, 8.339, 11.573 False
256.941, 130.454, 8.339, 11.606 False
256.664, 130.443, 8.339, 11.639 False
256.386, 130.432, 8.339, 11.672 False
256.108, 130.421, 8.339, 11.705 False
255.830, 130.410, 8.339, 11.738 False
255.553, 130.399, 8.339, 11.771 False
255.275, 130.388, 8.338, 11.804 False
254.997, 130.377, 8.338, 11.837 False
254.719, 130.366, 8.338, 11.870 False
254.442, 130.355, 8.338, 11.903 False
254.164, 130.343, 8.338, 11.936 False
253.886, 130.332, 8.338, 11.969 False
253.609, 130.320, 8.338, 12.002 False
253.331, 130.309, 8.338, 12.035 False
253.053, 130.298, 8.337, 12.068 False
252.776, 130.286, 8.337, 12.101 False
252.498, 130.275, 8.337, 12.134 False
252.220, 130.263, 8.337, 12.167 False
251.943, 130.252, 8.337, 12.200 False
251.665, 130.240, 8.337, 12.233 False
251.387, 130.228, 8.337, 12.266 False
251.110, 130.216, 8.337, 12.299 False
250.832, 130.204, 8.337, 12.332 False
250.554, 130.192, 8.337, 12.365 False
